method,attack_type,attack_strength,prompt_id,z_score,remaining_tokens
kgw_d1.5,deletion,0.5,17,-0.3162276660168695,40
kgw_d1.5,synonym,0.0,17,4.024921459499822,80
kgw_d1.5,synonym,0.1,17,4.472134954999802,80
kgw_d1.5,synonym,0.2,17,2.012460729749911,80
kgw_d1.5,synonym,0.3,17,2.4596742252498913,80
kgw_d1.5,deletion,0.0,18,3.0377366489561144,79
kgw_d1.5,deletion,0.1,18,1.8856176387197872,72
kgw_d1.5,deletion,0.2,18,1.4999996250000938,64
kgw_d1.5,deletion,0.3,18,1.5109657883413536,53
kgw_d1.5,deletion,0.4,18,-0.9486829980506085,40
kgw_d1.5,deletion,0.5,18,-0.9486829980506085,40
kgw_d1.5,synonym,0.0,18,3.1304944684998617,80
kgw_d1.5,synonym,0.1,18,2.6832809729998814,80
kgw_d1.5,synonym,0.2,18,1.788853981999921,80
kgw_d1.5,synonym,0.3,18,0.22360674774999012,80
kgw_d1.5,deletion,0.0,19,5.737947003583772,79
kgw_d1.5,deletion,0.1,19,4.478341891959494,72
kgw_d1.5,deletion,0.2,19,3.99999900000025,64
kgw_d1.5,deletion,0.3,19,2.060407893192755,53
kgw_d1.5,deletion,0.4,19,-0.9486829980506085,40
kgw_d1.5,deletion,0.5,19,-0.9486829980506085,40
kgw_d1.5,synonym,0.0,19,6.037382189249733,80
kgw_d1.5,synonym,0.1,19,4.919348450499783,80
kgw_d1.5,synonym,0.2,19,4.248528207249812,80
kgw_d1.5,synonym,0.3,19,3.1304944684998617,80
unb_a3.0,deletion,0.0,0,2.81271911940381,79
unb_a3.0,deletion,0.1,0,3.064128662919654,72
unb_a3.0,deletion,0.2,0,2.9999992500001875,64
unb_a3.0,deletion,0.3,0,-1.7856868407670543,53
unb_a3.0,deletion,0.4,0,0.3162276660168695,40
unb_a3.0,deletion,0.5,0,0.3162276660168695,40
unb_a3.0,synonym,0.0,0,2.4596742252498913,80
unb_a3.0,synonym,0.1,0,2.4596742252498913,80
unb_a3.0,synonym,0.2,0,2.4596742252498913,80
unb_a3.0,synonym,0.3,0,0.8944269909999605,80
unb_a3.0,deletion,0.0,1,2.1376665307468956,79
unb_a3.0,deletion,0.1,1,0.7071066145199202,72
unb_a3.0,deletion,0.2,1,0.49999987500003124,64
unb_a3.0,deletion,0.3,1,-0.9615236834899523,53
unb_a3.0,deletion,0.4,1,0.9486829980506085,40
unb_a3.0,deletion,0.5,1,0.9486829980506085,40
unb_a3.0,synonym,0.0,1,2.4596742252498913,80
unb_a3.0,synonym,0.1,1,0.22360674774999012,80
unb_a3.0,synonym,0.2,1,1.3416404864999407,80
unb_a3.0,synonym,0.3,1,1.1180337387499506,80
unb_a3.0,deletion,0.0,2,3.2627541785084193,79
unb_a3.0,deletion,0.1,2,3.064128662919654,72
unb_a3.0,deletion,0.2,2,1.7499995625001092,64
unb_a3.0,deletion,0.3,2,1.5109657883413536,53
unb_a3.0,deletion,0.4,2,0.0,40
unb_a3.0,deletion,0.5,2,0.0,40
unb_a3.0,synonym,0.0,2,3.354101216249852,80
unb_a3.0,synonym,0.1,2,1.5652472342499308,80
unb_a3.0,synonym,0.2,2,0.22360674774999012,80
unb_a3.0,synonym,0.3,2,1.788853981999921,80
unb_a3.0,deletion,0.0,3,2.81271911940381,79
unb_a3.0,deletion,0.1,3,1.4142132290398404,72
unb_a3.0,deletion,0.2,3,0.24999993750001562,64
unb_a3.0,deletion,0.3,3,-0.13736052621285033,53
unb_a3.0,deletion,0.4,3,-1.5811383300843476,40
unb_a3.0,deletion,0.5,3,-1.5811383300843476,40
unb_a3.0,synonym,0.0,3,3.1304944684998617,80
unb_a3.0,synonym,0.1,3,1.788853981999921,80
unb_a3.0,synonym,0.2,3,1.1180337387499506,80
unb_a3.0,synonym,0.3,3,-0.44721349549998024,80
unb_a3.0,deletion,0.0,4,1.2375964125376764,79
unb_a3.0,deletion,0.1,4,0.9428088193598936,72
unb_a3.0,deletion,0.2,4,0.49999987500003124,64
unb_a3.0,deletion,0.3,4,-0.412081578638551,53
unb_a3.0,deletion,0.4,4,1.264910664067478,40
unb_a3.0,deletion,0.5,4,1.264910664067478,40
unb_a3.0,synonym,0.0,4,1.1180337387499506,80
unb_a3.0,synonym,0.1,4,1.5652472342499308,80
unb_a3.0,synonym,0.2,4,0.22360674774999012,80
unb_a3.0,synonym,0.3,4,2.236067477499901,80
unb_a3.0,deletion,0.0,5,2.81271911940381,79
unb_a3.0,deletion,0.1,5,2.1213198435597604,72
unb_a3.0,deletion,0.2,5,0.49999987500003124,64
unb_a3.0,deletion,0.3,5,-0.13736052621285033,53
unb_a3.0,deletion,0.4,5,0.0,40
unb_a3.0,deletion,0.5,5,0.0,40
unb_a3.0,synonym,0.0,5,2.4596742252498913,80
unb_a3.0,synonym,0.1,5,1.5652472342499308,80
unb_a3.0,synonym,0.2,5,1.5652472342499308,80
