method,fpr,tpr,roc_threshold,auc
unb_a1.5,0.76,0.96,-0.4472134954999802,0.7359
unb_a1.5,0.82,0.96,-0.5423260268996071,0.7359
unb_a1.5,0.84,0.96,-0.6546535278508655,0.7359
unb_a1.5,0.88,0.96,-0.8432738649338275,0.7359
unb_a1.5,0.88,0.97,-0.8944269909999605,0.7359
unb_a1.5,0.89,0.97,-1.0681032388534013,0.7359
unb_a1.5,0.89,0.98,-1.1180337387499506,0.7359
unb_a1.5,0.91,0.98,-1.3251780202152963,0.7359
unb_a1.5,0.91,1.0,-1.3416404864999407,0.7359
unb_a1.5,0.94,1.0,-1.4924046963075226,0.7359
unb_a1.5,0.96,1.0,-1.6499154338798137,0.7359
unb_a1.5,1.0,1.0,-2.529821328134956,0.7359
unb_a2.0,0.0,0.0,inf,0.9040999999999999
unb_a2.0,0.0,0.01,4.248528207249812,0.9040999999999999
unb_a2.0,0.0,0.05,3.577707963999842,0.9040999999999999
unb_a2.0,0.0,0.09,3.354101216249852,0.9040999999999999
unb_a2.0,0.01,0.09,3.170374977656312,0.9040999999999999
unb_a2.0,0.01,0.1,3.1304944684998617,0.9040999999999999
unb_a2.0,0.01,0.16,2.906887720749872,0.9040999999999999
unb_a2.0,0.01,0.2,2.683280972999881,0.9040999999999999
unb_a2.0,0.01,0.3,2.4596742252498918,0.9040999999999999
unb_a2.0,0.03,0.3,2.27776931297835,0.9040999999999999
unb_a2.0,0.03,0.4,2.236067477499901,0.9040999999999999
unb_a2.0,0.04,0.4,2.193930516254028,0.9040999999999999
unb_a2.0,0.04,0.49,2.012460729749911,0.9040999999999999
unb_a2.0,0.07,0.49,1.8599617874687766,0.9040999999999999
unb_a2.0,0.07,0.59,1.788853981999921,0.9040999999999999
unb_a2.0,0.08,0.59,1.60816845742918,0.9040999999999999
unb_a2.0,0.08,0.68,1.5652472342499308,0.9040999999999999
unb_a2.0,0.11,0.68,1.362770002024268,0.9040999999999999
unb_a2.0,0.11,0.79,1.3416404864999407,0.9040999999999999
unb_a2.0,0.15,0.79,1.1313705298985666,0.9040999999999999
unb_a2.0,0.16,0.88,1.1180337387499506,0.9040999999999999
unb_a2.0,0.22,0.88,0.9299808937343883,0.9040999999999999
unb_a2.0,0.24,0.88,0.8962579300221338,0.9040999999999999
unb_a2.0,0.24,0.91,0.8944269909999605,0.9040999999999999
unb_a2.0,0.32,0.91,0.6868026310642517,0.9040999999999999
unb_a2.0,0.32,0.96,0.6708202432499704,0.9040999999999999
unb_a2.0,0.41,0.96,0.44721349549998024,0.9040999999999999
unb_a2.0,0.41,0.97,0.4472134954999802,0.9040999999999999
unb_a2.0,0.42,0.97,0.44172600673843204,0.9040999999999999
unb_a2.0,0.44,0.97,0.43133099979051787,0.9040999999999999
unb_a2.0,0.56,0.97,0.22360674774999012,0.9040999999999999
unb_a2.0,0.56,0.99,0.2236067477499901,0.9040999999999999
unb_a2.0,0.58,0.99,0.11704111979887671,0.9040999999999999
unb_a2.0,0.6,0.99,0.11547002717126463,0.9040999999999999
unb_a2.0,0.61,0.99,0.11250876477615239,0.9040999999999999
